regime,n,k,m,m_over_n,m_over_nk,f_count,tb_total,run_count,F0_size_mean,F1_size_mean,d_mean,support_recall_mean,support_recall_sd_functions,support_recall_se_functions,support_precision_mean,support_precision_sd_functions,support_precision_se_functions,signed_recall_mean,signed_recall_sd_functions,signed_recall_se_functions,signed_precision_mean,signed_precision_sd_functions,signed_precision_se_functions,support_tp_total,signed_tp_total,sign_accuracy_global,sign_errors_total,sign_error_runs,sign_error_run_rate,exact_support_count,exact_signed_count,exact_support_but_not_signed,false_positives_mean,false_negatives_mean,sigma_weight_mean,sigma_weight_sd_functions,sigma_weight_se_functions,sigma_weight_median,sigma_weight_max,weight_ratio_mean,weight_ratio_median,weight_ratio_max,weight_ratio_run_median,weight_ratio_run_max,restarts_mean,restarts_median,restarts_q90,restarts_q95,restarts_q99,restarts_max,found_count,not_found_count,found_rate
unrestricted,50,4,16,0.320000,0.080000,15,75,75,7.253333,8.746667,52.000000,0.120000,0.059161,0.015275,0.136365,0.115699,0.029873,0.113333,0.058146,0.015013,0.132794,0.116923,0.030189,36,34,0.944444,2,2,0.026667,0,0,0,4.213333,3.520000,4.693333,0.759198,0.196024,5.000000,8,1.173333,1.250000,2.000000,1.250000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,4,32,0.640000,0.160000,15,75,75,14.120000,17.880000,210.253333,0.213333,0.106010,0.027372,0.154434,0.111527,0.028796,0.206667,0.104994,0.027109,0.150101,0.111656,0.028829,64,62,0.968750,2,2,0.026667,0,0,0,5.906667,3.146667,6.760000,1.039780,0.268470,7.000000,10,1.690000,1.750000,2.500000,1.750000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,4,8,0.080000,0.020000,15,75,75,3.666667,4.333333,13.106667,0.043333,0.059362,0.015327,0.107778,0.174104,0.044953,0.040000,0.060356,0.015584,0.101111,0.176323,0.045527,13,12,0.923077,1,1,0.013333,0,0,0,2.546667,3.826667,2.720000,0.439480,0.113473,3.000000,6,0.680000,0.750000,1.500000,0.750000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,4,16,0.160000,0.040000,15,75,75,7.053333,8.946667,49.800000,0.106667,0.037161,0.009595,0.104476,0.058688,0.015153,0.100000,0.037796,0.009759,0.100032,0.053946,0.013929,32,30,0.937500,2,2,0.026667,0,0,0,4.333333,3.573333,4.760000,0.713943,0.184339,5.000000,8,1.190000,1.250000,2.000000,1.250000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,4,32,0.320000,0.080000,15,75,75,14.080000,17.920000,210.480000,0.136667,0.066726,0.017229,0.082608,0.042042,0.010855,0.126667,0.067788,0.017503,0.077926,0.044186,0.011409,41,38,0.926829,3,3,0.040000,0,0,0,7.080000,3.453333,7.626667,0.943751,0.243676,8.000000,12,1.906667,2.000000,3.000000,2.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,5,16,1.600000,0.320000,15,75,75,7.933333,8.066667,47.240000,0.418667,0.103501,0.026724,0.724444,0.141037,0.036416,0.400000,0.107968,0.027877,0.701333,0.145557,0.037583,157,150,0.955414,7,7,0.093333,0,0,0,1.026667,2.906667,3.120000,0.700204,0.180792,3.000000,6,0.624000,0.600000,1.200000,0.600000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,5,32,3.200000,0.640000,15,75,75,15.546667,16.453333,192.800000,0.624000,0.137571,0.035521,0.754984,0.092189,0.023803,0.621333,0.134263,0.034667,0.752317,0.093021,0.024018,234,233,0.995726,1,1,0.013333,5,5,0,1.226667,1.880000,4.346667,0.895917,0.231325,4.000000,7,0.869333,0.800000,1.400000,1.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,5,64,6.400000,1.280000,15,75,75,31.560000,32.440000,790.253333,0.845333,0.098985,0.025558,0.847619,0.078766,0.020337,0.840000,0.101419,0.026186,0.843810,0.082808,0.021381,317,315,0.993691,2,1,0.013333,34,34,0,0.880000,0.773333,5.106667,0.419977,0.108438,5.000000,8,1.021333,1.000000,1.600000,1.000000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,5,16,0.320000,0.064000,15,75,75,8.066667,7.933333,49.666667,0.130667,0.066705,0.017223,0.171270,0.099593,0.025715,0.117333,0.063185,0.016314,0.159460,0.100575,0.025968,49,44,0.897959,5,4,0.053333,0,0,0,3.773333,4.346667,4.426667,0.565012,0.145885,4.000000,8,0.885333,0.800000,1.600000,0.800000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,5,32,0.640000,0.128000,15,75,75,16.146667,15.853333,197.480000,0.205333,0.070697,0.018254,0.183525,0.074888,0.019336,0.189333,0.076295,0.019699,0.173260,0.072086,0.018613,77,71,0.922078,6,6,0.080000,0,0,0,5.946667,3.973333,6.973333,0.906695,0.234108,7.000000,11,1.394667,1.400000,2.200000,1.400000,2.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,5,64,1.280000,0.256000,15,75,75,31.773333,32.226667,791.106667,0.320000,0.106904,0.027603,0.193316,0.069431,0.017927,0.298667,0.111986,0.028915,0.182817,0.073127,0.018881,120,112,0.933333,8,8,0.106667,0,0,0,7.800000,3.400000,9.400000,1.298351,0.335233,10.000000,15,1.880000,2.000000,3.000000,2.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,5,16,0.160000,0.032000,15,75,75,8.280000,7.720000,49.266667,0.069333,0.059458,0.015352,0.069619,0.062323,0.016092,0.064000,0.056163,0.014501,0.065492,0.060125,0.015524,26,24,0.923077,2,2,0.026667,0,0,0,4.546667,4.653333,4.893333,0.900370,0.232475,5.000000,8,0.978667,1.000000,1.600000,1.000000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,5,32,0.320000,0.064000,15,75,75,15.626667,16.373333,192.053333,0.109333,0.068397,0.017660,0.090275,0.064175,0.016570,0.101333,0.067387,0.017399,0.084720,0.064783,0.016727,41,38,0.926829,3,3,0.040000,0,0,0,6.560000,4.453333,7.106667,1.269120,0.327685,7.000000,12,1.421333,1.400000,2.400000,1.400000,2.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,5,64,0.640000,0.128000,15,75,75,31.280000,32.720000,762.240000,0.160000,0.058554,0.015119,0.080530,0.025104,0.006482,0.144000,0.067273,0.017370,0.073590,0.030439,0.007859,60,54,0.900000,6,6,0.080000,0,0,0,9.800000,4.200000,10.600000,1.343769,0.346960,11.000000,15,2.120000,2.200000,3.000000,2.200000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,6,32,3.200000,0.533333,15,75,75,14.213333,17.786667,218.533333,0.648889,0.081520,0.021048,0.821984,0.098851,0.025523,0.642222,0.079149,0.020436,0.814873,0.099563,0.025707,292,289,0.989726,3,3,0.040000,0,0,0,0.960000,2.106667,4.853333,0.711002,0.183580,5.000000,8,0.808889,0.833333,1.333333,0.833333,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,6,64,6.400000,1.066667,15,75,75,29.306667,34.693333,882.373333,0.851111,0.095008,0.024531,0.871444,0.081282,0.020987,0.848889,0.094169,0.024314,0.869540,0.082092,0.021196,383,382,0.997389,1,1,0.013333,27,27,0,0.800000,0.893333,5.906667,0.369298,0.095352,6.000000,8,0.984444,1.000000,1.333333,1.000000,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,10,6,128,12.800000,2.133333,15,75,75,57.240000,70.760000,3565.133333,0.940000,0.060684,0.015669,0.955079,0.052192,0.013476,0.940000,0.060684,0.015669,0.955079,0.052192,0.013476,423,423,1.000000,0,0,0.000000,54,54,0,0.306667,0.360000,5.946667,0.396172,0.102291,6.000000,8,0.991111,1.000000,1.333333,1.000000,1.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,6,32,0.640000,0.106667,15,75,75,14.346667,17.653333,214.640000,0.231111,0.077117,0.019912,0.193424,0.064026,0.016532,0.204444,0.075453,0.019482,0.175143,0.066280,0.017114,104,92,0.884615,12,12,0.160000,0,0,0,6.200000,4.613333,7.586667,0.794505,0.205140,8.000000,11,1.264444,1.333333,1.833333,1.333333,1.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,6,64,1.280000,0.213333,15,75,75,28.533333,35.466667,880.240000,0.344444,0.075242,0.019427,0.209347,0.049988,0.012907,0.324444,0.078140,0.020176,0.198379,0.049442,0.012766,155,146,0.941935,9,8,0.106667,0,0,0,8.333333,3.933333,10.400000,0.732900,0.189234,11.000000,15,1.733333,1.833333,2.500000,1.666667,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,50,6,128,2.560000,0.426667,15,75,75,57.320000,70.680000,3542.200000,0.457778,0.079149,0.020436,0.219859,0.060176,0.015537,0.437778,0.080541,0.020795,0.212170,0.062535,0.016146,206,197,0.956311,9,7,0.093333,0,0,0,10.773333,3.253333,13.520000,1.140927,0.294586,14.000000,17,2.253333,2.333333,2.833333,2.333333,2.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,6,32,0.320000,0.053333,15,75,75,14.080000,17.920000,211.280000,0.117778,0.064077,0.016545,0.096434,0.051306,0.013247,0.104444,0.056155,0.014499,0.086328,0.049120,0.012683,53,47,0.886792,6,6,0.080000,0,0,0,7.373333,5.293333,8.080000,0.584563,0.150934,8.000000,11,1.346667,1.333333,1.833333,1.333333,1.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,6,64,0.640000,0.106667,15,75,75,27.720000,36.280000,866.493333,0.180000,0.061464,0.015870,0.105950,0.047143,0.012172,0.168889,0.064816,0.016735,0.100537,0.049217,0.012708,81,76,0.938272,5,5,0.066667,0,0,0,10.040000,4.920000,11.120000,1.044167,0.269603,11.000000,14,1.853333,1.833333,2.333333,1.833333,2.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
unrestricted,100,6,128,1.280000,0.213333,15,75,75,56.306667,71.693333,3552.226667,0.237778,0.085325,0.022031,0.100494,0.039074,0.010089,0.226667,0.083761,0.021627,0.096599,0.039630,0.010232,107,102,0.953271,5,4,0.053333,0,0,0,13.840000,4.573333,15.266667,1.143095,0.295146,16.000000,18,2.544444,2.666667,3.000000,2.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
