regime,n,k,m,m_over_n,m_over_nk,f_count,tb_total,run_count,F0_size_mean,F1_size_mean,d_mean,support_recall_mean,support_recall_sd_functions,support_recall_se_functions,support_precision_mean,support_precision_sd_functions,support_precision_se_functions,signed_recall_mean,signed_recall_sd_functions,signed_recall_se_functions,signed_precision_mean,signed_precision_sd_functions,signed_precision_se_functions,support_tp_total,signed_tp_total,sign_accuracy_global,sign_errors_total,sign_error_runs,sign_error_run_rate,exact_support_count,exact_signed_count,exact_support_but_not_signed,false_positives_mean,false_negatives_mean,sigma_weight_mean,sigma_weight_sd_functions,sigma_weight_se_functions,sigma_weight_median,sigma_weight_max,weight_ratio_mean,weight_ratio_median,weight_ratio_max,weight_ratio_run_median,weight_ratio_run_max,restarts_mean,restarts_median,restarts_q90,restarts_q95,restarts_q99,restarts_max,found_count,not_found_count,found_rate
kmax10,100,4,32,0.320000,0.080000,15,75,75,14.080000,17.920000,210.480000,0.146667,0.054989,0.014198,0.091884,0.039364,0.010164,0.143333,0.053005,0.013686,0.089979,0.037049,0.009566,44,43,0.977273,1,1,0.013333,0,0,0,6.680000,3.413333,7.266667,0.802377,0.207173,7.000000,10,1.816667,1.750000,2.500000,1.750000,2.500000,0.373333,0.000000,1.000000,2.000000,3.520000,5,75,0,1.000000
kmax10,10,5,16,1.600000,0.320000,15,75,75,7.933333,8.066667,47.240000,0.418667,0.103501,0.026724,0.724444,0.141037,0.036416,0.400000,0.107968,0.027877,0.701333,0.145557,0.037583,157,150,0.955414,7,7,0.093333,0,0,0,1.026667,2.906667,3.120000,0.700204,0.180792,3.000000,6,0.624000,0.600000,1.200000,0.600000,1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,10,5,32,3.200000,0.640000,15,75,75,15.546667,16.453333,192.800000,0.624000,0.137571,0.035521,0.754984,0.092189,0.023803,0.621333,0.134263,0.034667,0.752317,0.093021,0.024018,234,233,0.995726,1,1,0.013333,5,5,0,1.226667,1.880000,4.346667,0.895917,0.231325,4.000000,7,0.869333,0.800000,1.400000,1.000000,1.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,10,5,64,6.400000,1.280000,15,75,75,31.560000,32.440000,790.253333,0.845333,0.098985,0.025558,0.847619,0.078766,0.020337,0.840000,0.101419,0.026186,0.843810,0.082808,0.021381,317,315,0.993691,2,1,0.013333,34,34,0,0.880000,0.773333,5.106667,0.419977,0.108438,5.000000,8,1.021333,1.000000,1.600000,1.000000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,50,5,16,0.320000,0.064000,15,75,75,8.066667,7.933333,49.666667,0.130667,0.066705,0.017223,0.171270,0.099593,0.025715,0.117333,0.063185,0.016314,0.159460,0.100575,0.025968,49,44,0.897959,5,4,0.053333,0,0,0,3.773333,4.346667,4.426667,0.565012,0.145885,4.000000,8,0.885333,0.800000,1.600000,0.800000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,50,5,32,0.640000,0.128000,15,75,75,16.146667,15.853333,197.480000,0.197333,0.083449,0.021547,0.197418,0.100560,0.025964,0.189333,0.086145,0.022243,0.191180,0.103492,0.026722,74,71,0.959459,3,3,0.040000,0,0,0,5.586667,4.013333,6.573333,0.958769,0.247553,7.000000,10,1.314667,1.400000,2.000000,1.400000,2.000000,0.186667,0.000000,1.000000,1.000000,1.260000,2,75,0,1.000000
kmax10,50,5,64,1.280000,0.256000,15,75,75,31.773333,32.226667,791.106667,0.421333,0.150327,0.038814,0.303989,0.103874,0.026820,0.418667,0.149564,0.038617,0.302508,0.103857,0.026816,158,157,0.993671,1,1,0.013333,1,1,0,5.400000,2.893333,7.506667,1.125970,0.290724,8.000000,10,1.501333,1.600000,2.000000,1.600000,2.000000,7.120000,2.000000,23.000000,34.000000,71.300000,75,75,0,1.000000
kmax10,100,5,16,0.160000,0.032000,15,75,75,8.280000,7.720000,49.266667,0.069333,0.059458,0.015352,0.069619,0.062323,0.016092,0.064000,0.056163,0.014501,0.065492,0.060125,0.015524,26,24,0.923077,2,2,0.026667,0,0,0,4.546667,4.653333,4.893333,0.900370,0.232475,5.000000,8,0.978667,1.000000,1.600000,1.000000,1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0,75,0,1.000000
kmax10,100,5,32,0.320000,0.064000,15,75,75,15.626667,16.373333,192.053333,0.130667,0.071661,0.018503,0.107042,0.064427,0.016635,0.122667,0.074782,0.019309,0.101487,0.067218,0.017356,49,46,0.938776,3,3,0.040000,0,0,0,6.213333,4.346667,6.866667,1.167823,0.301530,7.000000,10,1.373333,1.400000,2.000000,1.400000,2.000000,0.266667,0.000000,1.000000,2.000000,2.520000,4,75,0,1.000000
kmax10,100,5,64,0.640000,0.128000,15,75,75,31.280000,32.720000,762.240000,0.314667,0.134263,0.034667,0.198217,0.079449,0.020514,0.301333,0.135112,0.034886,0.190884,0.079892,0.020628,118,113,0.957627,5,5,0.066667,0,0,0,6.640000,3.426667,8.213333,0.879827,0.227170,9.000000,10,1.642667,1.800000,2.000000,1.800000,2.000000,14.773333,3.000000,52.600000,63.200000,84.940000,99,75,0,1.000000
