node,n,k,m,tb,dataset_id,dataset_seed,F0_size,F1_size,d,support_true,signs_true,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
GAP,18,2,8,18,37,9252,2,6,12,"[8,9]","[1,1]",1,[5],[1],0,True
Rho,18,3,8,18,37,9252,7,1,7,"[6,9,12]","[1,-1,-1]",2,"[0,14]","[1,1]",0,True
rock,18,1,8,18,37,9252,2,6,12,[10],[1],1,[10],[1],0,True
GDI,18,1,8,18,37,9252,3,5,15,[13],[-1],1,[13],[-1],0,True
Moe,18,3,8,18,37,9252,7,1,7,"[11,13,14]","[1,1,-1]",1,[2],[1],0,True
mlcp,18,1,8,18,37,9252,2,6,12,[11],[-1],3,"[1,8,15]","[-1,-1,1]",0,True
mlc,18,3,8,18,37,9252,7,1,7,"[11,14,15]","[1,-1,1]",1,[2],[1],0,True
Actin,18,2,8,18,37,9252,7,1,7,"[13,16]","[1,1]",2,"[14,16]","[1,1]",0,True
Twi,18,2,8,19,38,9253,1,7,7,"[0,1]","[1,1]",2,"[3,5]","[1,-1]",0,True
Sna,18,1,8,19,38,9253,4,4,16,[0],[1],3,"[4,7,10]","[1,1,1]",0,True
Fog,18,2,8,19,38,9253,2,6,12,"[1,2]","[1,1]",2,"[8,16]","[-1,1]",0,True
FogR,18,1,8,19,38,9253,2,6,12,[3],[1],3,"[4,10,16]","[1,1,1]",0,True
Cta,18,1,8,19,38,9253,5,3,15,[4],[1],1,[4],[1],0,True
GEF,18,1,8,19,38,9253,5,3,15,[5],[1],1,[5],[1],0,True
Csk,18,1,8,19,38,9253,5,3,15,[5],[1],3,"[7,13,16]","[-1,1,-1]",0,True
Src,18,1,8,19,38,9253,4,4,16,[7],[-1],1,[7],[-1],0,True
GAP,18,2,8,19,38,9253,3,5,15,"[8,9]","[1,1]",3,"[0,8,12]","[1,1,1]",0,True
Rho,18,3,8,19,38,9253,7,1,7,"[6,9,12]","[1,-1,-1]",2,"[7,16]","[1,1]",0,True
rock,18,1,8,19,38,9253,5,3,15,[10],[1],3,"[0,8,9]","[1,1,1]",0,True
GDI,18,1,8,19,38,9253,4,4,16,[13],[-1],5,"[1,2,3,10,12]","[1,1,-1,1,-1]",0,True
Moe,18,3,8,19,38,9253,7,1,7,"[11,13,14]","[1,1,-1]",2,"[11,12]","[1,1]",0,True
mlcp,18,1,8,19,38,9253,3,5,15,[11],[-1],1,[11],[-1],0,True
mlc,18,3,8,19,38,9253,6,2,12,"[11,14,15]","[1,-1,1]",4,"[0,6,7,15]","[1,1,1,1]",0,True
Actin,18,2,8,19,38,9253,5,3,15,"[13,16]","[1,1]",3,"[2,13,15]","[1,1,-1]",0,True
Twi,18,2,8,20,39,9254,3,5,15,"[0,1]","[1,1]",4,"[0,11,15,17]","[1,-1,1,1]",0,True
Sna,18,1,8,20,39,9254,5,3,15,[0],[1],3,"[1,6,12]","[1,-1,1]",0,True
Fog,18,2,8,20,39,9254,2,6,12,"[1,2]","[1,1]",3,"[1,14,16]","[1,1,-1]",0,True
FogR,18,1,8,20,39,9254,2,6,12,[3],[1],1,[3],[1],0,True
Cta,18,1,8,20,39,9254,3,5,15,[4],[1],4,"[0,1,10,16]","[-1,1,-1,-1]",0,True
GEF,18,1,8,20,39,9254,4,4,16,[5],[1],1,[5],[1],0,True
Csk,18,1,8,20,39,9254,4,4,16,[5],[1],1,[5],[1],0,True
Src,18,1,8,20,39,9254,3,5,15,[7],[-1],1,[7],[-1],0,True
GAP,18,2,8,20,39,9254,1,7,7,"[8,9]","[1,1]",2,"[9,15]","[1,-1]",0,True
Rho,18,3,8,20,39,9254,7,1,7,"[6,9,12]","[1,-1,-1]",2,"[11,15]","[-1,1]",0,True
rock,18,1,8,20,39,9254,6,2,12,[10],[1],1,[10],[1],0,True
GDI,18,1,8,20,39,9254,5,3,15,[13],[-1],4,"[4,6,7,15]","[-1,1,-1,1]",0,True
Moe,18,3,8,20,39,9254,6,2,12,"[11,13,14]","[1,1,-1]",4,"[4,7,15,17]","[1,-1,1,1]",0,True
mlcp,18,1,8,20,39,9254,5,3,15,[11],[-1],1,[11],[-1],0,True
mlc,18,3,8,20,39,9254,7,1,7,"[11,14,15]","[1,-1,1]",2,"[8,15]","[1,1]",0,True
Actin,18,2,8,20,39,9254,6,2,12,"[13,16]","[1,1]",2,"[7,13]","[1,1]",0,True
Twi,18,2,16,1,40,17235,4,12,48,"[0,1]","[1,1]",4,"[2,4,10,15]","[1,-1,-1,1]",0,True
Sna,18,1,16,1,40,17235,9,7,63,[0],[1],1,[0],[1],0,True
Fog,18,2,16,1,40,17235,5,11,55,"[1,2]","[1,1]",3,"[2,7,8]","[1,-1,1]",0,True
FogR,18,1,16,1,40,17235,8,8,64,[3],[1],1,[3],[1],0,True
Cta,18,1,16,1,40,17235,10,6,60,[4],[1],1,[4],[1],0,True
GEF,18,1,16,1,40,17235,10,6,60,[5],[1],1,[5],[1],0,True
Csk,18,1,16,1,40,17235,10,6,60,[5],[1],1,[5],[1],0,True
Src,18,1,16,1,40,17235,8,8,64,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,1,40,17235,3,13,39,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,16,1,40,17235,14,2,28,"[6,9,12]","[1,-1,-1]",3,"[4,6,9]","[-1,1,-1]",0,True
rock,18,1,16,1,40,17235,7,9,63,[10],[1],1,[10],[1],0,True
GDI,18,1,16,1,40,17235,8,8,64,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,1,40,17235,14,2,28,"[11,13,14]","[1,1,-1]",2,"[1,15]","[1,-1]",0,True
mlcp,18,1,16,1,40,17235,6,10,60,[11],[-1],3,"[3,4,5]","[-1,-1,-1]",0,True
mlc,18,3,16,1,40,17235,15,1,15,"[11,14,15]","[1,-1,1]",3,"[5,15,17]","[1,1,1]",0,True
Actin,18,2,16,1,40,17235,14,2,28,"[13,16]","[1,1]",5,"[0,5,8,14,15]","[1,1,-1,-1,1]",0,True
Twi,18,2,16,2,41,17236,4,12,48,"[0,1]","[1,1]",3,"[1,9,11]","[1,1,1]",0,True
Sna,18,1,16,2,41,17236,12,4,48,[0],[1],1,[0],[1],0,True
Fog,18,2,16,2,41,17236,2,14,28,"[1,2]","[1,1]",5,"[3,4,10,12,17]","[-1,-1,1,1,1]",0,True
FogR,18,1,16,2,41,17236,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,2,41,17236,9,7,63,[4],[1],1,[4],[1],0,True
GEF,18,1,16,2,41,17236,9,7,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,2,41,17236,9,7,63,[5],[1],1,[5],[1],0,True
Src,18,1,16,2,41,17236,10,6,60,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,2,41,17236,2,14,28,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,16,2,41,17236,12,4,48,"[6,9,12]","[1,-1,-1]",4,"[1,3,9,12]","[1,1,-1,-1]",0,True
rock,18,1,16,2,41,17236,9,7,63,[10],[1],1,[10],[1],0,True
GDI,18,1,16,2,41,17236,10,6,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,2,41,17236,15,1,15,"[11,13,14]","[1,1,-1]",3,"[2,7,14]","[1,-1,-1]",0,True
mlcp,18,1,16,2,41,17236,10,6,60,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,2,41,17236,15,1,15,"[11,14,15]","[1,-1,1]",3,"[4,8,13]","[1,-1,1]",0,True
Actin,18,2,16,2,41,17236,10,6,60,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,16,3,42,17237,5,11,55,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,16,3,42,17237,8,8,64,[0],[1],1,[0],[1],0,True
Fog,18,2,16,3,42,17237,4,12,48,"[1,2]","[1,1]",5,"[0,2,4,9,17]","[1,1,-1,-1,1]",0,True
FogR,18,1,16,3,42,17237,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,3,42,17237,6,10,60,[4],[1],1,[4],[1],0,True
GEF,18,1,16,3,42,17237,6,10,60,[5],[1],1,[5],[1],0,True
Csk,18,1,16,3,42,17237,6,10,60,[5],[1],6,"[0,2,8,9,12,17]","[-1,1,-1,-1,1,-1]",0,True
Src,18,1,16,3,42,17237,5,11,55,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,3,42,17237,3,13,39,"[8,9]","[1,1]",3,"[2,6,16]","[-1,1,-1]",0,True
Rho,18,3,16,3,42,17237,15,1,15,"[6,9,12]","[1,-1,-1]",3,"[3,8,16]","[-1,1,-1]",0,True
rock,18,1,16,3,42,17237,5,11,55,[10],[1],1,[10],[1],0,True
GDI,18,1,16,3,42,17237,7,9,63,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,3,42,17237,14,2,28,"[11,13,14]","[1,1,-1]",3,"[6,8,13]","[1,1,1]",0,True
mlcp,18,1,16,3,42,17237,7,9,63,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,3,42,17237,15,1,15,"[11,14,15]","[1,-1,1]",3,"[11,12,13]","[1,1,1]",0,True
Actin,18,2,16,3,42,17237,11,5,55,"[13,16]","[1,1]",4,"[1,6,11,13]","[-1,1,-1,1]",0,True
Twi,18,2,16,4,43,17238,3,13,39,"[0,1]","[1,1]",5,"[3,7,10,13,16]","[1,1,-1,-1,1]",0,True
Sna,18,1,16,4,43,17238,7,9,63,[0],[1],1,[0],[1],0,True
Fog,18,2,16,4,43,17238,4,12,48,"[1,2]","[1,1]",4,"[1,8,10,15]","[1,1,-1,-1]",0,True
FogR,18,1,16,4,43,17238,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,4,43,17238,6,10,60,[4],[1],1,[4],[1],0,True
GEF,18,1,16,4,43,17238,9,7,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,4,43,17238,9,7,63,[5],[1],1,[5],[1],0,True
Src,18,1,16,4,43,17238,10,6,60,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,4,43,17238,5,11,55,"[8,9]","[1,1]",3,"[3,8,10]","[-1,1,1]",0,True
Rho,18,3,16,4,43,17238,15,1,15,"[6,9,12]","[1,-1,-1]",3,"[0,5,8]","[-1,1,-1]",0,True
rock,18,1,16,4,43,17238,9,7,63,[10],[1],1,[10],[1],0,True
GDI,18,1,16,4,43,17238,9,7,63,[13],[-1],4,"[3,7,8,14]","[-1,-1,1,1]",0,True
Moe,18,3,16,4,43,17238,12,4,48,"[11,13,14]","[1,1,-1]",5,"[0,1,2,12,17]","[1,-1,-1,1,-1]",0,True
mlcp,18,1,16,4,43,17238,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,4,43,17238,13,3,39,"[11,14,15]","[1,-1,1]",6,"[0,2,4,5,10,15]","[-1,-1,-1,-1,-1,1]",0,True
Actin,18,2,16,4,43,17238,10,6,60,"[13,16]","[1,1]",5,"[1,6,7,11,13]","[-1,-1,1,1,1]",0,True
Twi,18,2,16,5,44,17239,3,13,39,"[0,1]","[1,1]",2,"[0,1]","[1,1]",0,True
Sna,18,1,16,5,44,17239,8,8,64,[0],[1],4,"[8,10,12,16]","[-1,-1,1,1]",0,True
Fog,18,2,16,5,44,17239,7,9,63,"[1,2]","[1,1]",3,"[1,3,15]","[1,-1,-1]",0,True
FogR,18,1,16,5,44,17239,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,5,44,17239,9,7,63,[4],[1],1,[4],[1],0,True
GEF,18,1,16,5,44,17239,6,10,60,[5],[1],1,[5],[1],0,True
Csk,18,1,16,5,44,17239,6,10,60,[5],[1],5,"[0,8,11,12,13]","[1,-1,1,-1,1]",0,True
Src,18,1,16,5,44,17239,5,11,55,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,5,44,17239,1,15,15,"[8,9]","[1,1]",2,"[6,15]","[-1,-1]",0,True
Rho,18,3,16,5,44,17239,15,1,15,"[6,9,12]","[1,-1,-1]",3,"[10,14,15]","[-1,-1,1]",0,True
rock,18,1,16,5,44,17239,4,12,48,[10],[1],1,[10],[1],0,True
GDI,18,1,16,5,44,17239,9,7,63,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,5,44,17239,14,2,28,"[11,13,14]","[1,1,-1]",3,"[0,13,14]","[1,1,-1]",0,True
mlcp,18,1,16,5,44,17239,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,5,44,17239,15,1,15,"[11,14,15]","[1,-1,1]",2,"[3,15]","[1,1]",0,True
Actin,18,2,16,5,44,17239,14,2,28,"[13,16]","[1,1]",4,"[1,5,7,13]","[-1,1,-1,1]",0,True
Twi,18,2,16,6,45,17240,2,14,28,"[0,1]","[1,1]",2,"[11,12]","[-1,-1]",0,True
Sna,18,1,16,6,45,17240,5,11,55,[0],[1],1,[0],[1],0,True
Fog,18,2,16,6,45,17240,4,12,48,"[1,2]","[1,1]",5,"[3,4,10,11,17]","[1,-1,-1,-1,1]",0,True
FogR,18,1,16,6,45,17240,7,9,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,6,45,17240,5,11,55,[4],[1],1,[4],[1],0,True
GEF,18,1,16,6,45,17240,8,8,64,[5],[1],1,[5],[1],0,True
Csk,18,1,16,6,45,17240,8,8,64,[5],[1],1,[5],[1],0,True
Src,18,1,16,6,45,17240,9,7,63,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,6,45,17240,4,12,48,"[8,9]","[1,1]",3,"[0,5,8]","[1,1,1]",0,True
Rho,18,3,16,6,45,17240,13,3,39,"[6,9,12]","[1,-1,-1]",3,"[5,7,17]","[-1,1,1]",0,True
rock,18,1,16,6,45,17240,9,7,63,[10],[1],1,[10],[1],0,True
GDI,18,1,16,6,45,17240,6,10,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,6,45,17240,15,1,15,"[11,13,14]","[1,1,-1]",4,"[12,14,15,16]","[-1,-1,1,-1]",0,True
mlcp,18,1,16,6,45,17240,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,6,45,17240,13,3,39,"[11,14,15]","[1,-1,1]",6,"[4,5,8,14,16,17]","[1,-1,1,-1,-1,1]",0,True
Actin,18,2,16,6,45,17240,14,2,28,"[13,16]","[1,1]",3,"[1,11,13]","[1,-1,1]",0,True
Twi,18,2,16,7,46,17241,2,14,28,"[0,1]","[1,1]",2,"[2,7]","[1,1]",0,True
Sna,18,1,16,7,46,17241,6,10,60,[0],[1],4,"[7,8,14,15]","[1,1,-1,1]",0,True
Fog,18,2,16,7,46,17241,7,9,63,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,16,7,46,17241,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,7,46,17241,6,10,60,[4],[1],1,[4],[1],0,True
GEF,18,1,16,7,46,17241,4,12,48,[5],[1],6,"[3,6,7,11,13,14]","[-1,-1,-1,-1,1,1]",0,True
Csk,18,1,16,7,46,17241,4,12,48,[5],[1],1,[5],[1],0,True
Src,18,1,16,7,46,17241,10,6,60,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,7,46,17241,4,12,48,"[8,9]","[1,1]",6,"[0,6,9,15,16,17]","[1,1,1,1,1,-1]",0,True
Rho,18,3,16,7,46,17241,11,5,55,"[6,9,12]","[1,-1,-1]",5,"[1,2,11,14,16]","[-1,1,1,-1,-1]",0,True
rock,18,1,16,7,46,17241,13,3,39,[10],[1],4,"[0,2,13,17]","[1,1,-1,-1]",0,True
GDI,18,1,16,7,46,17241,10,6,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,7,46,17241,15,1,15,"[11,13,14]","[1,1,-1]",3,"[0,3,14]","[-1,-1,-1]",0,True
mlcp,18,1,16,7,46,17241,9,7,63,[11],[-1],4,"[5,7,12,15]","[1,1,1,-1]",0,True
mlc,18,3,16,7,46,17241,15,1,15,"[11,14,15]","[1,-1,1]",3,"[0,9,10]","[1,1,-1]",0,True
Actin,18,2,16,7,46,17241,11,5,55,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,16,8,47,17242,3,13,39,"[0,1]","[1,1]",5,"[3,7,9,11,13]","[-1,1,1,-1,1]",0,True
Sna,18,1,16,8,47,17242,7,9,63,[0],[1],6,"[3,4,7,8,12,16]","[1,1,-1,1,1,1]",0,True
Fog,18,2,16,8,47,17242,3,13,39,"[1,2]","[1,1]",2,"[5,9]","[-1,1]",0,True
FogR,18,1,16,8,47,17242,9,7,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,8,47,17242,6,10,60,[4],[1],1,[4],[1],0,True
GEF,18,1,16,8,47,17242,8,8,64,[5],[1],5,"[6,7,9,13,17]","[1,-1,1,-1,1]",0,True
Csk,18,1,16,8,47,17242,8,8,64,[5],[1],1,[5],[1],0,True
Src,18,1,16,8,47,17242,6,10,60,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,8,47,17242,6,10,60,"[8,9]","[1,1]",5,"[2,3,4,8,10]","[-1,-1,1,1,1]",0,True
Rho,18,3,16,8,47,17242,12,4,48,"[6,9,12]","[1,-1,-1]",5,"[1,2,6,10,14]","[-1,-1,1,-1,1]",0,True
rock,18,1,16,8,47,17242,9,7,63,[10],[1],6,"[0,4,8,9,12,17]","[-1,1,1,-1,1,-1]",0,True
GDI,18,1,16,8,47,17242,7,9,63,[13],[-1],4,"[2,6,7,14]","[1,1,-1,1]",0,True
Moe,18,3,16,8,47,17242,14,2,28,"[11,13,14]","[1,1,-1]",6,"[2,3,6,10,14,16]","[-1,-1,-1,-1,-1,-1]",0,True
mlcp,18,1,16,8,47,17242,7,9,63,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,8,47,17242,15,1,15,"[11,14,15]","[1,-1,1]",3,"[8,10,16]","[-1,1,1]",0,True
Actin,18,2,16,8,47,17242,12,4,48,"[13,16]","[1,1]",4,"[2,6,11,16]","[-1,-1,1,1]",0,True
Twi,18,2,16,9,48,17243,6,10,60,"[0,1]","[1,1]",1,[0],[1],0,True
Sna,18,1,16,9,48,17243,6,10,60,[0],[1],1,[0],[1],0,True
Fog,18,2,16,9,48,17243,6,10,60,"[1,2]","[1,1]",5,"[0,8,12,13,16]","[1,-1,1,-1,-1]",0,True
FogR,18,1,16,9,48,17243,8,8,64,[3],[1],1,[3],[1],0,True
Cta,18,1,16,9,48,17243,9,7,63,[4],[1],1,[4],[1],0,True
GEF,18,1,16,9,48,17243,11,5,55,[5],[1],5,"[2,8,10,12,16]","[1,1,1,-1,1]",0,True
Csk,18,1,16,9,48,17243,11,5,55,[5],[1],1,[5],[1],0,True
Src,18,1,16,9,48,17243,9,7,63,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,9,48,17243,3,13,39,"[8,9]","[1,1]",3,"[4,8,10]","[-1,1,1]",0,True
Rho,18,3,16,9,48,17243,14,2,28,"[6,9,12]","[1,-1,-1]",2,"[12,17]","[-1,-1]",0,True
rock,18,1,16,9,48,17243,6,10,60,[10],[1],1,[10],[1],0,True
GDI,18,1,16,9,48,17243,7,9,63,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,9,48,17243,14,2,28,"[11,13,14]","[1,1,-1]",2,"[13,14]","[1,-1]",0,True
mlcp,18,1,16,9,48,17243,11,5,55,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,9,48,17243,13,3,39,"[11,14,15]","[1,-1,1]",4,"[6,12,16,17]","[-1,-1,1,-1]",0,True
Actin,18,2,16,9,48,17243,11,5,55,"[13,16]","[1,1]",4,"[0,7,14,15]","[-1,1,1,1]",0,True
Twi,18,2,16,10,49,17244,3,13,39,"[0,1]","[1,1]",4,"[0,2,11,16]","[1,-1,-1,-1]",0,True
Sna,18,1,16,10,49,17244,6,10,60,[0],[1],5,"[7,8,9,14,15]","[1,1,-1,1,1]",0,True
Fog,18,2,16,10,49,17244,5,11,55,"[1,2]","[1,1]",4,"[2,6,11,16]","[1,-1,-1,1]",0,True
FogR,18,1,16,10,49,17244,8,8,64,[3],[1],6,"[1,2,7,13,15,17]","[1,1,-1,1,-1,-1]",0,True
Cta,18,1,16,10,49,17244,11,5,55,[4],[1],1,[4],[1],0,True
GEF,18,1,16,10,49,17244,11,5,55,[5],[1],1,[5],[1],0,True
Csk,18,1,16,10,49,17244,11,5,55,[5],[1],4,"[1,4,10,15]","[1,1,1,1]",0,True
Src,18,1,16,10,49,17244,8,8,64,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,10,49,17244,3,13,39,"[8,9]","[1,1]",4,"[4,9,11,13]","[1,1,-1,1]",0,True
Rho,18,3,16,10,49,17244,15,1,15,"[6,9,12]","[1,-1,-1]",3,"[7,9,10]","[1,-1,-1]",0,True
rock,18,1,16,10,49,17244,9,7,63,[10],[1],1,[10],[1],0,True
GDI,18,1,16,10,49,17244,9,7,63,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,10,49,17244,14,2,28,"[11,13,14]","[1,1,-1]",6,"[2,3,5,7,10,13]","[1,1,-1,-1,1,1]",0,True
mlcp,18,1,16,10,49,17244,6,10,60,[11],[-1],4,"[1,9,10,15]","[1,1,-1,-1]",0,True
mlc,18,3,16,10,49,17244,15,1,15,"[11,14,15]","[1,-1,1]",3,"[14,15,16]","[-1,1,1]",0,True
Actin,18,2,16,10,49,17244,11,5,55,"[13,16]","[1,1]",4,"[3,9,13,14]","[1,1,1,-1]",0,True
Twi,18,2,16,11,50,17245,3,13,39,"[0,1]","[1,1]",6,"[3,4,8,9,12,13]","[-1,1,1,-1,1,1]",0,True
Sna,18,1,16,11,50,17245,8,8,64,[0],[1],1,[0],[1],0,True
Fog,18,2,16,11,50,17245,6,10,60,"[1,2]","[1,1]",2,"[1,2]","[1,1]",0,True
FogR,18,1,16,11,50,17245,7,9,63,[3],[1],5,"[0,6,9,12,13]","[-1,1,1,1,1]",0,True
Cta,18,1,16,11,50,17245,12,4,48,[4],[1],6,"[1,5,6,8,14,17]","[1,-1,-1,-1,-1,1]",0,True
GEF,18,1,16,11,50,17245,5,11,55,[5],[1],5,"[1,12,13,16,17]","[-1,1,1,1,1]",0,True
Csk,18,1,16,11,50,17245,5,11,55,[5],[1],5,"[6,8,9,10,11]","[-1,-1,1,1,1]",0,True
Src,18,1,16,11,50,17245,10,6,60,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,11,50,17245,6,10,60,"[8,9]","[1,1]",3,"[2,8,17]","[-1,1,1]",0,True
Rho,18,3,16,11,50,17245,15,1,15,"[6,9,12]","[1,-1,-1]",2,"[3,6]","[-1,1]",0,True
rock,18,1,16,11,50,17245,8,8,64,[10],[1],1,[10],[1],0,True
GDI,18,1,16,11,50,17245,6,10,60,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,11,50,17245,14,2,28,"[11,13,14]","[1,1,-1]",4,"[6,10,11,14]","[1,-1,1,-1]",0,True
mlcp,18,1,16,11,50,17245,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,11,50,17245,14,2,28,"[11,14,15]","[1,-1,1]",3,"[5,8,15]","[1,1,1]",0,True
Actin,18,2,16,11,50,17245,13,3,39,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,16,12,51,17246,4,12,48,"[0,1]","[1,1]",3,"[0,12,17]","[1,-1,-1]",0,True
Sna,18,1,16,12,51,17246,6,10,60,[0],[1],4,"[6,15,16,17]","[1,-1,1,-1]",0,True
Fog,18,2,16,12,51,17246,7,9,63,"[1,2]","[1,1]",6,"[1,10,12,13,15,17]","[1,-1,-1,1,-1,-1]",0,True
FogR,18,1,16,12,51,17246,4,12,48,[3],[1],1,[3],[1],0,True
Cta,18,1,16,12,51,17246,9,7,63,[4],[1],5,"[2,3,8,12,16]","[-1,1,-1,-1,-1]",0,True
GEF,18,1,16,12,51,17246,9,7,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,12,51,17246,9,7,63,[5],[1],5,"[4,6,9,12,15]","[1,-1,1,1,1]",0,True
Src,18,1,16,12,51,17246,9,7,63,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,12,51,17246,3,13,39,"[8,9]","[1,1]",4,"[9,10,11,12]","[1,-1,1,-1]",0,True
Rho,18,3,16,12,51,17246,15,1,15,"[6,9,12]","[1,-1,-1]",3,"[15,16,17]","[1,-1,1]",0,True
rock,18,1,16,12,51,17246,11,5,55,[10],[1],1,[10],[1],0,True
GDI,18,1,16,12,51,17246,8,8,64,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,12,51,17246,14,2,28,"[11,13,14]","[1,1,-1]",3,"[6,11,16]","[1,1,1]",0,True
mlcp,18,1,16,12,51,17246,9,7,63,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,12,51,17246,15,1,15,"[11,14,15]","[1,-1,1]",3,"[2,7,16]","[-1,-1,-1]",0,True
Actin,18,2,16,12,51,17246,10,6,60,"[13,16]","[1,1]",2,"[13,16]","[1,1]",0,True
Twi,18,2,16,13,52,17247,4,12,48,"[0,1]","[1,1]",4,"[0,6,8,17]","[1,-1,1,1]",0,True
Sna,18,1,16,13,52,17247,7,9,63,[0],[1],1,[0],[1],0,True
Fog,18,2,16,13,52,17247,4,12,48,"[1,2]","[1,1]",4,"[2,9,14,17]","[1,1,-1,1]",0,True
FogR,18,1,16,13,52,17247,7,9,63,[3],[1],1,[3],[1],0,True
Cta,18,1,16,13,52,17247,4,12,48,[4],[1],1,[4],[1],0,True
GEF,18,1,16,13,52,17247,7,9,63,[5],[1],1,[5],[1],0,True
Csk,18,1,16,13,52,17247,7,9,63,[5],[1],1,[5],[1],0,True
Src,18,1,16,13,52,17247,8,8,64,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,13,52,17247,4,12,48,"[8,9]","[1,1]",2,"[8,9]","[1,1]",0,True
Rho,18,3,16,13,52,17247,13,3,39,"[6,9,12]","[1,-1,-1]",4,"[2,7,9,16]","[1,1,-1,-1]",0,True
rock,18,1,16,13,52,17247,7,9,63,[10],[1],1,[10],[1],0,True
GDI,18,1,16,13,52,17247,8,8,64,[13],[-1],1,[13],[-1],0,True
Moe,18,3,16,13,52,17247,11,5,55,"[11,13,14]","[1,1,-1]",5,"[0,5,7,10,15]","[1,-1,1,1,-1]",0,True
mlcp,18,1,16,13,52,17247,8,8,64,[11],[-1],1,[11],[-1],0,True
mlc,18,3,16,13,52,17247,13,3,39,"[11,14,15]","[1,-1,1]",6,"[5,6,8,10,12,17]","[-1,1,1,1,1,-1]",0,True
Actin,18,2,16,13,52,17247,12,4,48,"[13,16]","[1,1]",4,"[8,10,15,16]","[-1,1,-1,1]",0,True
Twi,18,2,16,14,53,17248,3,13,39,"[0,1]","[1,1]",5,"[0,7,9,12,16]","[1,-1,-1,1,1]",0,True
Sna,18,1,16,14,53,17248,6,10,60,[0],[1],1,[0],[1],0,True
Fog,18,2,16,14,53,17248,3,13,39,"[1,2]","[1,1]",6,"[4,6,9,11,16,17]","[-1,-1,-1,-1,1,-1]",0,True
FogR,18,1,16,14,53,17248,9,7,63,[3],[1],4,"[0,2,15,16]","[1,-1,1,1]",0,True
Cta,18,1,16,14,53,17248,9,7,63,[4],[1],1,[4],[1],0,True
GEF,18,1,16,14,53,17248,2,14,28,[5],[1],1,[5],[1],0,True
Csk,18,1,16,14,53,17248,2,14,28,[5],[1],4,"[7,9,12,14]","[-1,-1,1,-1]",0,True
Src,18,1,16,14,53,17248,8,8,64,[7],[-1],1,[7],[-1],0,True
GAP,18,2,16,14,53,17248,5,11,55,"[8,9]","[1,1]",6,"[3,8,11,13,14,15]","[-1,1,-1,1,-1,1]",0,True
