n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
10,4,8,3,3,41237,4031244,403102037,5,3,15,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",1,[7],[-1],0,True
10,4,8,3,4,41237,4031244,403102038,6,2,12,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",2,"[0,8]","[1,-1]",0,True
10,4,8,3,5,41237,4031244,403102039,6,2,12,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",2,"[2,8]","[1,-1]",0,True
10,4,16,3,1,41237,4031244,403102835,6,10,60,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[0,4,8]","[1,-1,-1]",0,True
10,4,16,3,2,41237,4031244,403102836,10,6,60,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[0,4,5,6]","[1,-1,-1,-1]",0,True
10,4,16,3,3,41237,4031244,403102837,8,8,64,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",5,"[0,2,4,6,7]","[1,-1,-1,-1,-1]",0,True
10,4,16,3,4,41237,4031244,403102838,5,11,55,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[0,4,8]","[1,-1,-1]",0,True
10,4,16,3,5,41237,4031244,403102839,10,6,60,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[0,1,4]","[1,-1,-1]",0,True
10,4,32,3,1,41237,4031244,403104435,21,11,231,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",5,"[0,3,6,8,9]","[1,-1,1,-1,-1]",0,True
10,4,32,3,2,41237,4031244,403104436,18,14,252,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[0,4,7,8]","[1,-1,-1,-1]",0,True
10,4,32,3,3,41237,4031244,403104437,16,16,256,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[0,3,5,7]","[1,1,1,-1]",0,True
10,4,32,3,4,41237,4031244,403104438,18,14,252,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[0,4,7,8]","[1,-1,-1,-1]",0,True
10,4,32,3,5,41237,4031244,403104439,17,15,255,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",5,"[0,1,7,8,9]","[1,-1,-1,-1,1]",0,True
50,4,8,3,1,41237,4031284,403502035,4,4,16,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[5,6,24]","[-1,1,-1]",0,True
50,4,8,3,2,41237,4031284,403502036,6,2,12,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",3,"[8,22,27]","[1,1,-1]",0,True
50,4,8,3,3,41237,4031284,403502037,3,5,15,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[1,5,28,37]","[1,-1,-1,1]",0,True
50,4,8,3,4,41237,4031284,403502038,7,1,7,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[4,35,39,47]","[-1,-1,1,-1]",0,True
50,4,8,3,5,41237,4031284,403502039,2,6,12,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",2,"[27,30]","[1,-1]",0,True
50,4,16,3,1,41237,4031284,403502835,8,8,64,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",6,"[5,15,17,20,35,41]","[-1,1,-1,-1,1,-1]",0,True
50,4,16,3,2,41237,4031284,403502836,12,4,48,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",6,"[16,20,31,32,42,49]","[1,-1,1,1,-1,-1]",0,True
50,4,16,3,3,41237,4031284,403502837,10,6,60,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[1,10,13,25]","[1,-1,1,1]",0,True
50,4,16,3,4,41237,4031284,403502838,8,8,64,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",5,"[20,24,26,27,47]","[-1,1,-1,-1,-1]",0,True
50,4,16,3,5,41237,4031284,403502839,7,9,63,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",6,"[1,4,11,16,17,27]","[1,-1,1,-1,-1,1]",0,True
50,4,32,3,1,41237,4031284,403504435,16,16,256,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",8,"[1,5,14,18,26,32,38,41]","[1,1,-1,-1,1,-1,1,-1]",0,True
50,4,32,3,2,41237,4031284,403504436,21,11,231,"[40,10,1,3]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",6,"[1,16,17,32,34,45]","[1,-1,-1,-1,-1,1]",0,True
