n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
10,4,16,2,5,41236,4021244,402102839,13,3,39,"[7,8,2,3]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",2,"[3,6]","[1,-1]",0,True
10,4,32,2,1,41236,4021244,402104435,25,7,175,"[7,8,2,3]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[0,1,2,3,6]","[1,-1,-1,1,1]",0,True
10,4,32,2,2,41236,4021244,402104436,24,8,192,"[7,8,2,3]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[2,3,7,8]","[-1,1,1,1]",0,True
10,4,32,2,3,41236,4021244,402104437,22,10,220,"[7,8,2,3]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[3,5,6,8,9]","[1,1,-1,1,1]",0,True
10,4,32,2,4,41236,4021244,402104438,20,12,240,"[7,8,2,3]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[3,4,7,8]","[1,-1,1,1]",0,True
10,4,32,2,5,41236,4021244,402104439,17,15,255,"[7,8,2,3]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[2,3,7,8]","[-1,1,1,1]",0,True
50,4,8,2,1,41236,4021284,402502035,5,3,15,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",3,"[19,33,37]","[1,-1,1]",0,True
50,4,8,2,2,41236,4021284,402502036,4,4,16,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",1,[37],[1],0,True
50,4,8,2,3,41236,4021284,402502037,4,4,16,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",1,[37],[1],0,True
50,4,8,2,4,41236,4021284,402502038,2,6,12,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",3,"[20,28,41]","[1,1,-1]",0,True
50,4,8,2,5,41236,4021284,402502039,6,2,12,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[5,6,25,44]","[1,-1,-1,1]",0,True
50,4,16,2,1,41236,4021284,402502835,13,3,39,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[4,7,28,35,44]","[-1,-1,-1,1,1]",0,True
50,4,16,2,2,41236,4021284,402502836,11,5,55,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",6,"[4,19,28,39,44,46]","[-1,-1,1,1,-1,-1]",0,True
50,4,16,2,3,41236,4021284,402502837,9,7,63,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",6,"[10,12,21,22,34,35]","[-1,-1,1,1,-1,1]",0,True
50,4,16,2,4,41236,4021284,402502838,11,5,55,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",6,"[11,15,22,24,38,44]","[1,1,-1,-1,-1,-1]",0,True
50,4,16,2,5,41236,4021284,402502839,13,3,39,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[19,21,24,36]","[-1,1,-1,1]",0,True
50,4,32,2,1,41236,4021284,402504435,21,11,231,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",9,"[1,3,9,15,17,20,21,31,39]","[1,1,1,-1,1,-1,1,1,1]",0,True
50,4,32,2,2,41236,4021284,402504436,20,12,240,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",8,"[4,9,19,23,39,41,46,48]","[1,1,1,1,-1,-1,-1,1]",0,True
50,4,32,2,3,41236,4021284,402504437,21,11,231,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",6,"[2,10,28,32,34,47]","[-1,-1,-1,1,-1,1]",0,True
50,4,32,2,4,41236,4021284,402504438,24,8,192,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",7,"[5,7,24,36,38,40,43]","[1,-1,1,1,-1,-1,-1]",0,True
50,4,32,2,5,41236,4021284,402504439,23,9,207,"[11,6,8,37]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",7,"[3,12,35,39,40,44,49]","[1,1,1,-1,-1,-1,1]",0,True
100,4,8,2,1,41236,4021334,403002035,5,3,15,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",3,"[2,53,97]","[-1,1,-1]",0,True
100,4,8,2,2,41236,4021334,403002036,4,4,16,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",1,[61],[1],0,True
100,4,8,2,3,41236,4021334,403002037,6,2,12,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",3,"[38,45,87]","[-1,1,-1]",0,True
100,4,8,2,4,41236,4021334,403002038,5,3,15,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[4,25,52,82]","[-1,-1,-1,-1]",0,True
100,4,8,2,5,41236,4021334,403002039,5,3,15,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[24,49,58,64,90]","[1,1,-1,1,-1]",0,True
100,4,16,2,1,41236,4021334,403002835,11,5,55,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",4,"[4,12,45,90]","[-1,1,-1,1]",0,True
100,4,16,2,2,41236,4021334,403002836,9,7,63,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[3,57,60,67,76]","[1,1,-1,1,-1]",0,True
100,4,16,2,3,41236,4021334,403002837,11,5,55,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[3,63,70,73,99]","[-1,-1,1,1,1]",0,True
100,4,16,2,4,41236,4021334,403002838,11,5,55,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[44,86,92,93,97]","[1,-1,1,1,1]",0,True
100,4,16,2,5,41236,4021334,403002839,13,3,39,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",5,"[4,23,37,72,77]","[1,1,-1,1,1]",0,True
100,4,32,2,1,41236,4021334,403004435,25,7,175,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",8,"[23,29,30,48,51,52,75,85]","[-1,1,-1,-1,1,1,1,-1]",0,True
100,4,32,2,2,41236,4021334,403004436,20,12,240,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",9,"[6,17,23,31,53,81,85,88,98]","[1,-1,-1,1,-1,1,1,-1,-1]",0,True
100,4,32,2,3,41236,4021334,403004437,23,9,207,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",7,"[20,38,67,83,84,90,99]","[1,-1,1,-1,1,1,-1]",0,True
100,4,32,2,4,41236,4021334,403004438,23,9,207,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",9,"[13,30,32,37,43,63,65,77,89]","[-1,1,1,1,1,1,-1,1,-1]",0,True
100,4,32,2,5,41236,4021334,403004439,19,13,247,"[6,68,80,67]","[1,1,-1,1]","[9,14]","[[0,3],[1,2,3]]",7,"[12,16,27,31,43,53,76]","[-1,-1,1,1,-1,-1,1]",0,True
10,4,8,3,1,41237,4031244,403102035,5,3,15,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",2,"[4,8]","[-1,-1]",0,True
10,4,8,3,2,41237,4031244,403102036,4,4,16,"[4,7,0,8]","[-1,-1,1,-1]","[5,12,11]","[[0,2],[2,3],[0,1,3]]",4,"[0,1,2,4]","[1,1,1,-1]",0,True
