n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,k_max_used,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
10,3,8,5,2,31239,3051244,305102036,10,3,5,15,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[1,3,5]","[-1,-1,1]",0,True
10,3,8,5,3,31239,3051244,305102037,10,1,7,7,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[0,7]","[-1,-1]",0,True
10,3,8,5,4,31239,3051244,305102038,10,5,3,15,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[1,2]","[-1,1]",0,True
10,3,8,5,5,31239,3051244,305102039,10,2,6,12,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[4,7]","[1,1]",0,True
10,3,16,5,1,31239,3051244,305102835,10,10,6,60,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[3],[-1],0,True
10,3,16,5,2,31239,3051244,305102836,10,2,14,28,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[3,9]","[-1,1]",0,True
10,3,16,5,3,31239,3051244,305102837,10,4,12,48,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[0,4]","[-1,1]",0,True
10,3,16,5,4,31239,3051244,305102838,10,4,12,48,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[3,6,9]","[-1,-1,1]",0,True
10,3,16,5,5,31239,3051244,305102839,10,9,7,63,"[4,3,9]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[3],[-1],0,True
50,3,4,5,1,31239,3051284,305501635,10,2,2,4,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[37],[1],0,True
50,3,4,5,2,31239,3051284,305501636,10,2,2,4,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[34,35,39]","[-1,-1,1]",0,True
50,3,4,5,3,31239,3051284,305501637,10,2,2,4,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[21,47]","[-1,1]",0,True
50,3,4,5,4,31239,3051284,305501638,10,1,3,3,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[45],[-1],0,True
50,3,4,5,5,31239,3051284,305501639,10,1,3,3,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[11,20]","[-1,-1]",0,True
50,3,8,5,1,31239,3051284,305502035,10,1,7,7,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[0,43]","[-1,-1]",0,True
50,3,8,5,2,31239,3051284,305502036,10,2,6,12,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[9,24]","[-1,-1]",0,True
50,3,8,5,3,31239,3051284,305502037,10,2,6,12,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[9],[-1],0,True
50,3,8,5,4,31239,3051284,305502038,10,4,4,16,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",4,"[3,13,16,40]","[-1,1,1,-1]",0,True
50,3,8,5,5,31239,3051284,305502039,10,3,5,15,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[29,41,42]","[-1,-1,1]",0,True
50,3,16,5,1,31239,3051284,305502835,10,8,8,64,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",6,"[7,13,19,33,38,47]","[1,1,-1,-1,1,-1]",0,True
50,3,16,5,2,31239,3051284,305502836,10,2,14,28,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[4,21,46]","[-1,1,-1]",0,True
50,3,16,5,3,31239,3051284,305502837,10,7,9,63,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",5,"[8,9,11,25,46]","[1,-1,1,-1,1]",0,True
50,3,16,5,4,31239,3051284,305502838,10,8,8,64,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",7,"[1,2,4,18,32,44,48]","[-1,-1,1,-1,-1,1,-1]",0,True
50,3,16,5,5,31239,3051284,305502839,10,5,11,55,"[7,9,16]","[1,-1,1]","[2,5]","[[1],[0,2]]",6,"[1,5,13,17,47,49]","[-1,1,-1,1,1,-1]",0,True
100,3,4,5,1,31239,3051334,306001635,10,1,3,3,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[37,74,95]","[1,1,1]",0,True
100,3,4,5,2,31239,3051334,306001636,10,3,1,3,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[88],[1],0,True
100,3,4,5,3,31239,3051334,306001637,10,1,3,3,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[73],[-1],0,True
100,3,4,5,4,31239,3051334,306001638,10,3,1,3,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[63,73]","[-1,1]",0,True
100,3,4,5,5,31239,3051334,306001639,10,3,1,3,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[0,75]","[-1,-1]",0,True
100,3,8,5,1,31239,3051334,306002035,10,4,4,16,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[55,80]","[1,-1]",0,True
100,3,8,5,2,31239,3051334,306002036,10,4,4,16,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",3,"[60,67,75]","[1,-1,1]",0,True
100,3,8,5,3,31239,3051334,306002037,10,3,5,15,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",4,"[13,19,21,58]","[1,-1,-1,1]",0,True
100,3,8,5,4,31239,3051334,306002038,10,3,5,15,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[49,80]","[-1,-1]",0,True
100,3,8,5,5,31239,3051334,306002039,10,2,6,12,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",1,[96],[-1],0,True
100,3,16,5,1,31239,3051334,306002835,10,8,8,64,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",8,"[20,46,55,60,64,68,70,87]","[1,-1,1,1,1,1,-1,-1]",0,True
100,3,16,5,2,31239,3051334,306002836,10,4,12,48,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",6,"[4,5,9,36,74,96]","[1,1,-1,1,-1,-1]",0,True
100,3,16,5,3,31239,3051334,306002837,10,3,13,39,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",2,"[4,80]","[-1,-1]",0,True
100,3,16,5,4,31239,3051334,306002838,10,6,10,60,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",4,"[33,43,58,99]","[1,-1,1,-1]",0,True
100,3,16,5,5,31239,3051334,306002839,10,8,8,64,"[33,80,13]","[1,-1,1]","[2,5]","[[1],[0,2]]",6,"[22,23,32,76,85,93]","[-1,-1,-1,1,1,1]",0,True
10,3,4,6,1,31240,3061244,306101635,10,1,3,3,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[1,7]","[1,1]",0,True
10,3,4,6,2,31240,3061244,306101636,10,2,2,4,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[0,4]","[-1,-1]",0,True
10,3,4,6,3,31240,3061244,306101637,10,2,2,4,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[4],[-1],0,True
10,3,4,6,4,31240,3061244,306101638,10,3,1,3,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[6],[-1],0,True
10,3,4,6,5,31240,3061244,306101639,10,1,3,3,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[4],[-1],0,True
10,3,8,6,1,31240,3061244,306102035,10,6,2,12,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[1,3,9]","[1,1,1]",0,True
10,3,8,6,2,31240,3061244,306102036,10,6,2,12,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[0,4,5]","[-1,-1,1]",0,True
10,3,8,6,3,31240,3061244,306102037,10,2,6,12,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[2,3,4]","[-1,-1,-1]",0,True
10,3,8,6,4,31240,3061244,306102038,10,3,5,15,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[1,3,8]","[1,-1,-1]",0,True
10,3,8,6,5,31240,3061244,306102039,10,7,1,7,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[2,7]","[-1,1]",0,True
10,3,16,6,1,31240,3061244,306102835,10,8,8,64,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[0,3,4]","[-1,1,-1]",0,True
10,3,16,6,2,31240,3061244,306102836,10,6,10,60,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[0,2,7,8]","[-1,-1,1,1]",0,True
10,3,16,6,3,31240,3061244,306102837,10,5,11,55,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[4],[-1],0,True
10,3,16,6,4,31240,3061244,306102838,10,6,10,60,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[4],[-1],0,True
10,3,16,6,5,31240,3061244,306102839,10,9,7,63,"[0,4,2]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[0,4,5]","[-1,-1,-1]",0,True
50,3,4,6,1,31240,3061284,306501635,10,3,1,3,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[2,46]","[-1,1]",0,True
50,3,4,6,2,31240,3061284,306501636,10,3,1,3,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[19],[1],0,True
50,3,4,6,3,31240,3061284,306501637,10,2,2,4,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[14],[-1],0,True
50,3,4,6,4,31240,3061284,306501638,10,2,2,4,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[43,48]","[1,-1]",0,True
50,3,4,6,5,31240,3061284,306501639,10,2,2,4,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[36,40]","[1,-1]",0,True
50,3,8,6,1,31240,3061284,306502035,10,5,3,15,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[3,11,28,46]","[1,-1,-1,-1]",0,True
50,3,8,6,2,31240,3061284,306502036,10,6,2,12,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[27,36,45,49]","[-1,1,1,-1]",0,True
50,3,8,6,3,31240,3061284,306502037,10,5,3,15,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[23],[-1],0,True
50,3,8,6,4,31240,3061284,306502038,10,4,4,16,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[1,11,38]","[1,1,-1]",0,True
50,3,8,6,5,31240,3061284,306502039,10,5,3,15,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[16],[-1],0,True
50,3,16,6,1,31240,3061284,306502835,10,10,6,60,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",5,"[9,16,23,29,34]","[1,-1,-1,-1,-1]",0,True
50,3,16,6,2,31240,3061284,306502836,10,6,10,60,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[14,16,31]","[-1,-1,-1]",0,True
50,3,16,6,3,31240,3061284,306502837,10,10,6,60,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",6,"[7,8,9,18,26,42]","[1,-1,-1,-1,1,1]",0,True
50,3,16,6,4,31240,3061284,306502838,10,13,3,39,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[13,16]","[-1,-1]",0,True
50,3,16,6,5,31240,3061284,306502839,10,7,9,63,"[23,16,22]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",5,"[4,6,11,12,27]","[-1,1,-1,1,-1]",0,True
100,3,4,6,1,31240,3061334,307001635,10,2,2,4,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[64],[1],0,True
100,3,4,6,2,31240,3061334,307001636,10,2,2,4,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[53],[-1],0,True
100,3,4,6,3,31240,3061334,307001637,10,2,2,4,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[27,94]","[-1,1]",0,True
100,3,4,6,4,31240,3061334,307001638,10,1,3,3,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",2,"[27,33]","[-1,-1]",0,True
100,3,4,6,5,31240,3061334,307001639,10,3,1,3,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",1,[7],[1],0,True
100,3,8,6,1,31240,3061334,307002035,10,4,4,16,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[3,9,16,19]","[1,-1,1,1]",0,True
100,3,8,6,2,31240,3061334,307002036,10,4,4,16,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[25,47,87]","[-1,-1,1]",0,True
100,3,8,6,3,31240,3061334,307002037,10,6,2,12,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[48,73,93,95]","[-1,1,1,-1]",0,True
100,3,8,6,4,31240,3061334,307002038,10,5,3,15,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[37,82,87,94]","[-1,1,-1,1]",0,True
100,3,8,6,5,31240,3061334,307002039,10,5,3,15,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[8,85,90,97]","[-1,-1,-1,-1]",0,True
100,3,16,6,1,31240,3061334,307002835,10,9,7,63,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",7,"[1,28,48,68,71,82,87]","[1,-1,-1,-1,-1,-1,1]",0,True
100,3,16,6,2,31240,3061334,307002836,10,5,11,55,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",4,"[1,3,72,80]","[-1,-1,-1,1]",0,True
100,3,16,6,3,31240,3061334,307002837,10,8,8,64,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",5,"[9,29,33,47,67]","[-1,-1,-1,1,-1]",0,True
100,3,16,6,4,31240,3061334,307002838,10,10,6,60,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",5,"[2,12,51,53,99]","[1,-1,-1,-1,1]",0,True
100,3,16,6,5,31240,3061334,307002839,10,10,6,60,"[85,24,77]","[-1,-1,-1]","[3,6]","[[0,1],[1,2]]",3,"[6,24,74]","[-1,-1,-1]",0,True
10,3,4,7,1,31241,3071244,307101635,10,3,1,3,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[7,9]","[1,1]",0,True
10,3,4,7,2,31241,3071244,307101636,10,3,1,3,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[1,6]","[-1,1]",0,True
10,3,4,7,3,31241,3071244,307101637,10,3,1,3,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[2,9]","[-1,1]",0,True
10,3,4,7,4,31241,3071244,307101638,10,2,2,4,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[2,3]","[-1,1]",0,True
10,3,4,7,5,31241,3071244,307101639,10,3,1,3,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[0,9]","[-1,-1]",0,True
10,3,8,7,1,31241,3071244,307102035,10,4,4,16,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",4,"[1,6,7,9]","[-1,1,1,-1]",0,True
10,3,8,7,2,31241,3071244,307102036,10,5,3,15,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[1,6]","[-1,1]",0,True
10,3,8,7,3,31241,3071244,307102037,10,5,3,15,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[4,8]","[-1,-1]",0,True
10,3,8,7,4,31241,3071244,307102038,10,2,6,12,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[4,5]","[-1,-1]",0,True
10,3,8,7,5,31241,3071244,307102039,10,5,3,15,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[0,1,6]","[1,-1,1]",0,True
10,3,16,7,1,31241,3071244,307102835,10,7,9,63,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",4,"[2,4,6,8]","[1,-1,1,1]",0,True
10,3,16,7,2,31241,3071244,307102836,10,7,9,63,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[1,4,6]","[-1,-1,1]",0,True
10,3,16,7,3,31241,3071244,307102837,10,9,7,63,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[1,6,9]","[-1,1,1]",0,True
10,3,16,7,4,31241,3071244,307102838,10,10,6,60,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[6],[1],0,True
10,3,16,7,5,31241,3071244,307102839,10,4,12,48,"[1,6,4]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[4,6,8]","[-1,1,-1]",0,True
50,3,4,7,1,31241,3071284,307501635,10,2,2,4,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[9],[1],0,True
50,3,4,7,2,31241,3071284,307501636,10,2,2,4,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[28],[1],0,True
50,3,4,7,3,31241,3071284,307501637,10,1,3,3,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[1,47]","[-1,-1]",0,True
50,3,4,7,4,31241,3071284,307501638,10,2,2,4,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[41],[-1],0,True
50,3,4,7,5,31241,3071284,307501639,10,1,3,3,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[25],[-1],0,True
50,3,8,7,1,31241,3071284,307502035,10,5,3,15,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[1,31]","[1,1]",0,True
50,3,8,7,2,31241,3071284,307502036,10,5,3,15,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[23],[1],0,True
50,3,8,7,3,31241,3071284,307502037,10,2,6,12,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[13,44,45]","[1,-1,1]",0,True
50,3,8,7,4,31241,3071284,307502038,10,3,5,15,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[14,27]","[1,-1]",0,True
50,3,8,7,5,31241,3071284,307502039,10,3,5,15,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[3,14,25]","[1,1,1]",0,True
50,3,16,7,1,31241,3071284,307502835,10,8,8,64,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",4,"[4,15,25,48]","[-1,1,1,-1]",0,True
50,3,16,7,2,31241,3071284,307502836,10,9,7,63,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",5,"[14,15,18,21,42]","[1,-1,-1,-1,-1]",0,True
50,3,16,7,3,31241,3071284,307502837,10,9,7,63,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",4,"[2,3,8,40]","[-1,1,1,1]",0,True
50,3,16,7,4,31241,3071284,307502838,10,7,9,63,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[1,22,31]","[1,-1,-1]",0,True
50,3,16,7,5,31241,3071284,307502839,10,11,5,55,"[37,14,2]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",5,"[2,6,22,36,47]","[-1,1,-1,-1,1]",0,True
100,3,4,7,1,31241,3071334,308001635,10,3,1,3,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[24,98]","[1,-1]",0,True
100,3,4,7,2,31241,3071334,308001636,10,3,1,3,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[88],[1],0,True
100,3,4,7,3,31241,3071334,308001637,10,2,2,4,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[14],[1],0,True
100,3,4,7,4,31241,3071334,308001638,10,2,2,4,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[44,82,95]","[1,1,1]",0,True
100,3,4,7,5,31241,3071334,308001639,10,3,1,3,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",1,[5],[1],0,True
100,3,8,7,1,31241,3071334,308002035,10,5,3,15,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[53,79]","[1,1]",0,True
100,3,8,7,2,31241,3071334,308002036,10,6,2,12,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",4,"[11,78,80,91]","[1,-1,1,-1]",0,True
100,3,8,7,3,31241,3071334,308002037,10,6,2,12,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[5,29,91]","[1,1,-1]",0,True
100,3,8,7,4,31241,3071334,308002038,10,6,2,12,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",2,"[65,77]","[-1,1]",0,True
100,3,8,7,5,31241,3071334,308002039,10,4,4,16,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",3,"[9,24,47]","[-1,-1,1]",0,True
100,3,16,7,1,31241,3071334,308002835,10,9,7,63,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",6,"[3,45,48,60,63,85]","[-1,-1,1,-1,1,1]",0,True
100,3,16,7,2,31241,3071334,308002836,10,7,9,63,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",5,"[20,22,73,80,97]","[-1,-1,1,-1,-1]",0,True
100,3,16,7,3,31241,3071334,308002837,10,6,10,60,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",5,"[9,20,47,52,57]","[-1,1,-1,-1,-1]",0,True
100,3,16,7,4,31241,3071334,308002838,10,7,9,63,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",5,"[20,62,72,80,92]","[1,-1,-1,-1,-1]",0,True
100,3,16,7,5,31241,3071334,308002839,10,10,6,60,"[65,30,74]","[-1,1,-1]","[3,5,6]","[[0,1],[0,2],[1,2]]",7,"[4,5,15,22,40,46,74]","[1,-1,-1,-1,-1,-1,-1]",0,True
10,3,4,8,1,31242,3081244,308101635,10,1,3,3,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",2,"[7,9]","[1,1]",0,True
10,3,4,8,2,31242,3081244,308101636,10,1,3,3,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[3],[-1],0,True
10,3,4,8,3,31242,3081244,308101637,10,1,3,3,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[9],[1],0,True
10,3,4,8,4,31242,3081244,308101638,10,1,3,3,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",2,"[0,6]","[1,-1]",0,True
10,3,4,8,5,31242,3081244,308101639,10,2,2,4,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[4],[-1],0,True
10,3,8,8,1,31242,3081244,308102035,10,4,4,16,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[2],[-1],0,True
10,3,8,8,2,31242,3081244,308102036,10,4,4,16,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",3,"[2,7,9]","[-1,-1,1]",0,True
10,3,8,8,3,31242,3081244,308102037,10,4,4,16,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[2],[-1],0,True
10,3,8,8,4,31242,3081244,308102038,10,5,3,15,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",3,"[0,5,8]","[-1,-1,-1]",0,True
10,3,8,8,5,31242,3081244,308102039,10,2,6,12,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",2,"[0,8]","[1,-1]",0,True
10,3,16,8,1,31242,3081244,308102835,10,5,11,55,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[2],[-1],0,True
10,3,16,8,2,31242,3081244,308102836,10,6,10,60,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",2,"[2,8]","[-1,-1]",0,True
10,3,16,8,3,31242,3081244,308102837,10,6,10,60,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",3,"[2,6,7]","[-1,-1,1]",0,True
10,3,16,8,4,31242,3081244,308102838,10,4,12,48,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",5,"[3,4,6,7,8]","[1,-1,-1,1,-1]",0,True
10,3,16,8,5,31242,3081244,308102839,10,8,8,64,"[6,8,2]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",3,"[1,2,8]","[-1,-1,-1]",0,True
50,3,4,8,1,31242,3081284,308501635,10,2,2,4,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[11],[-1],0,True
50,3,4,8,2,31242,3081284,308501636,10,3,1,3,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",2,"[28,39]","[-1,-1]",0,True
50,3,4,8,3,31242,3081284,308501637,10,2,2,4,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",3,"[4,8,46]","[1,-1,1]",0,True
50,3,4,8,4,31242,3081284,308501638,10,2,2,4,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[36],[-1],0,True
50,3,4,8,5,31242,3081284,308501639,10,2,2,4,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",2,"[25,27]","[-1,1]",0,True
50,3,8,8,1,31242,3081284,308502035,10,3,5,15,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",4,"[0,19,26,47]","[-1,1,1,-1]",0,True
50,3,8,8,2,31242,3081284,308502036,10,3,5,15,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",1,[37],[-1],0,True
50,3,8,8,3,31242,3081284,308502037,10,3,5,15,"[38,48,37]","[-1,-1,-1]","[4,3]","[[2],[0,1]]",3,"[21,31,34]","[-1,-1,-1]",0,True
