n,k,m,f_id,tb,function_seed,embedding_seed,dataset_seed,k_max_used,F0_size,F1_size,d,support_true,signs_true,antichain_masks,antichain_sets,sigma_weight,support_predicted,signs_predicted,restarts,solution_found
100,2,4,1,3,21235,2011334,202001637,10,1,3,3,"[10,30]","[-1,-1]",[3],"[[0,1]]",1,[33],[-1],0,True
100,2,4,1,4,21235,2011334,202001638,10,2,2,4,"[10,30]","[-1,-1]",[3],"[[0,1]]",2,"[32,52]","[1,-1]",0,True
100,2,4,1,5,21235,2011334,202001639,10,3,1,3,"[10,30]","[-1,-1]",[3],"[[0,1]]",2,"[22,58]","[-1,1]",0,True
100,2,8,1,1,21235,2011334,202002035,10,6,2,12,"[10,30]","[-1,-1]",[3],"[[0,1]]",2,"[4,93]","[-1,1]",0,True
100,2,8,1,2,21235,2011334,202002036,10,6,2,12,"[10,30]","[-1,-1]",[3],"[[0,1]]",2,"[52,95]","[-1,1]",0,True
100,2,8,1,3,21235,2011334,202002037,10,4,4,16,"[10,30]","[-1,-1]",[3],"[[0,1]]",1,[47],[-1],0,True
100,2,8,1,4,21235,2011334,202002038,10,7,1,7,"[10,30]","[-1,-1]",[3],"[[0,1]]",3,"[47,85,97]","[1,-1,-1]",0,True
100,2,8,1,5,21235,2011334,202002039,10,5,3,15,"[10,30]","[-1,-1]",[3],"[[0,1]]",4,"[5,54,95,96]","[-1,1,-1,1]",0,True
10,2,2,2,1,21236,2021244,202101435,10,1,1,1,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[7],[-1],0,True
10,2,2,2,2,21236,2021244,202101436,10,1,1,1,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[3],[-1],0,True
10,2,2,2,3,21236,2021244,202101437,10,1,1,1,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[5],[-1],0,True
10,2,2,2,4,21236,2021244,202101438,10,1,1,1,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[2],[1],0,True
10,2,2,2,5,21236,2021244,202101439,10,1,1,1,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[3],[-1],0,True
10,2,4,2,1,21236,2021244,202101635,10,2,2,4,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[6],[1],0,True
10,2,4,2,2,21236,2021244,202101636,10,3,1,3,"[1,5]","[-1,-1]",[3],"[[0,1]]",2,"[0,3]","[1,1]",0,True
10,2,4,2,3,21236,2021244,202101637,10,3,1,3,"[1,5]","[-1,-1]",[3],"[[0,1]]",2,"[2,3]","[-1,-1]",0,True
10,2,4,2,4,21236,2021244,202101638,10,2,2,4,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[9],[-1],0,True
10,2,4,2,5,21236,2021244,202101639,10,3,1,3,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[5],[-1],0,True
10,2,8,2,1,21236,2021244,202102035,10,4,4,16,"[1,5]","[-1,-1]",[3],"[[0,1]]",4,"[0,1,3,4]","[-1,-1,1,1]",0,True
10,2,8,2,2,21236,2021244,202102036,10,4,4,16,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[1],[-1],0,True
10,2,8,2,3,21236,2021244,202102037,10,6,2,12,"[1,5]","[-1,-1]",[3],"[[0,1]]",1,[1],[-1],0,True
10,2,8,2,4,21236,2021244,202102038,10,6,2,12,"[1,5]","[-1,-1]",[3],"[[0,1]]",2,"[5,8]","[-1,1]",0,True
10,2,8,2,5,21236,2021244,202102039,10,7,1,7,"[1,5]","[-1,-1]",[3],"[[0,1]]",2,"[5,7]","[-1,-1]",0,True
50,2,2,2,1,21236,2021284,202501435,10,1,1,1,"[17,39]","[-1,-1]",[3],"[[0,1]]",1,[6],[1],0,True
50,2,2,2,2,21236,2021284,202501436,10,1,1,1,"[17,39]","[-1,-1]",[3],"[[0,1]]",1,[49],[1],0,True
50,2,2,2,3,21236,2021284,202501437,10,1,1,1,"[17,39]","[-1,-1]",[3],"[[0,1]]",1,[38],[-1],0,True
50,2,2,2,4,21236,2021284,202501438,10,1,1,1,"[17,39]","[-1,-1]",[3],"[[0,1]]",1,[31],[1],0,True
