regime,n,k,m,f_id,tb,support_true,signs_true,support_predicted,signs_predicted,support_tp,signed_tp,sign_errors
unrestricted,10,6,32,7,4,"[0,1,3,5,2,9]","[1,1,-1,-1,1,1]","[0,1,2,4,5]","[-1,1,1,1,-1]",4,3,1
unrestricted,50,6,32,7,3,"[10,47,46,14,22,35]","[1,1,-1,-1,1,1]","[3,14,19,23,29,32,44,46,47,48]","[-1,1,-1,1,-1,1,1,-1,1,-1]",3,2,1
unrestricted,50,6,32,7,4,"[10,47,46,14,22,35]","[1,1,-1,-1,1,1]","[7,10,21,28,30,31,36,45,47]","[-1,-1,-1,1,1,-1,1,1,1]",2,1,1
unrestricted,50,6,32,7,5,"[10,47,46,14,22,35]","[1,1,-1,-1,1,1]","[4,6,14,18,26,31,33,34,48]","[1,1,1,1,1,-1,-1,-1,-1]",1,0,1
unrestricted,50,6,128,7,1,"[10,47,46,14,22,35]","[1,1,-1,-1,1,1]","[6,10,11,14,15,24,26,27,34,37,38,40,43,47,48,49]","[-1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1]",3,1,2
unrestricted,100,6,128,7,4,"[41,78,57,46,79,98]","[1,1,-1,-1,1,1]","[0,4,5,6,29,35,41,44,45,46,54,59,61,62,86,89,97,98]","[1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1]",3,1,2
unrestricted,10,6,32,8,2,"[4,9,6,0,5,1]","[-1,-1,1,1,-1,-1]","[0,1,3,5,6,8]","[1,-1,1,1,1,-1]",4,3,1
unrestricted,50,6,32,8,2,"[33,49,31,24,3,7]","[-1,-1,1,1,-1,-1]","[2,14,24,25,33,41,44,45]","[1,1,1,-1,1,1,1,-1]",2,1,1
unrestricted,50,6,128,8,4,"[33,49,31,24,3,7]","[-1,-1,1,1,-1,-1]","[0,2,3,4,6,9,12,13,22,27,29,30,37,38,44,47]","[1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1]",1,0,1
unrestricted,100,6,128,8,4,"[93,41,78,67,32,98]","[-1,-1,1,1,-1,-1]","[23,32,37,38,47,54,56,68,70,76,78,85,87,92,97]","[-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,1]",2,1,1
unrestricted,50,6,64,9,4,"[17,33,15,6,40,45]","[1,1,1,1,-1,-1]","[0,6,15,30,35,42,45,48]","[-1,1,1,-1,-1,1,1,1]",3,2,1
unrestricted,50,6,64,10,2,"[41,23,37,40,8,29]","[1,-1,-1,-1,-1,1]","[0,3,8,16,25,26,27,28,30,32,40,42,45]","[-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1]",2,1,1
unrestricted,50,6,64,10,5,"[41,23,37,40,8,29]","[1,-1,-1,-1,-1,1]","[5,6,8,11,16,19,20,25,29,41,42]","[1,1,-1,-1,1,1,1,1,-1,1,1]",3,2,1
unrestricted,50,6,32,11,1,"[6,14,5,37,33,4]","[1,1,-1,1,-1,1]","[4,6,8,13,31,37,43,49]","[1,1,1,-1,-1,-1,-1,1]",3,2,1
unrestricted,50,6,64,11,3,"[6,14,5,37,33,4]","[1,1,-1,1,-1,1]","[2,3,5,6,10,14,30,37,40,43,49]","[1,-1,-1,1,1,-1,-1,1,-1,1,-1]",4,3,1
unrestricted,100,6,32,11,4,"[28,11,99,21,14,83]","[1,1,-1,1,-1,1]","[16,17,20,29,31,92,94,99]","[-1,1,-1,1,-1,-1,-1,1]",1,0,1
unrestricted,100,6,64,11,4,"[28,11,99,21,14,83]","[1,1,-1,1,-1,1]","[0,14,19,21,24,35,41,54,57,61,66,89]","[1,1,-1,1,-1,1,-1,-1,-1,1,-1,1]",2,1,1
unrestricted,10,6,64,12,5,"[8,4,0,5,7,1]","[1,-1,1,1,-1,1]","[0,4,5,6,7,8,9]","[1,-1,1,-1,-1,-1,1]",5,4,1
unrestricted,50,6,32,12,4,"[21,34,9,10,8,6]","[1,-1,1,1,-1,1]","[1,6,11,13,31,40,41,46,48]","[1,-1,1,1,1,1,1,-1,-1]",1,0,1
unrestricted,50,6,128,12,1,"[21,34,9,10,8,6]","[1,-1,1,1,-1,1]","[0,2,4,9,10,13,14,15,19,20,21,24,25,30,32,35,41]","[1,-1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,1,-1,1]",3,2,1
unrestricted,100,6,32,12,4,"[44,87,79,46,89,18]","[1,-1,1,1,-1,1]","[6,7,8,36,44,48,51,66]","[1,-1,1,1,-1,1,1,1]",1,0,1
unrestricted,100,6,64,12,1,"[44,87,79,46,89,18]","[1,-1,1,1,-1,1]","[20,34,45,46,60,64,69,73,74,76,77,93]","[1,1,-1,-1,1,-1,1,-1,1,1,1,1]",1,0,1
unrestricted,10,6,32,13,3,"[5,6,4,3,1,9]","[1,1,1,1,1,1]","[0,3,4,5,6,8]","[1,1,1,1,-1,-1]",4,3,1
unrestricted,50,6,32,13,1,"[1,2,23,22,49,3]","[1,1,1,1,1,1]","[0,23,24,34,36,37,38,40,45,49]","[1,1,1,-1,1,-1,-1,-1,1,-1]",2,1,1
unrestricted,50,6,64,13,1,"[1,2,23,22,49,3]","[1,1,1,1,1,1]","[2,3,8,9,12,17,22,24,26,31,35,40,43,46,48]","[-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1]",3,1,2
unrestricted,100,6,32,14,5,"[68,56,20,8,87,38]","[1,1,1,1,1,-1]","[7,15,20,30,50,64,86]","[1,1,-1,-1,-1,-1,1]",1,0,1
unrestricted,100,6,64,14,1,"[68,56,20,8,87,38]","[1,1,1,1,1,-1]","[12,22,27,32,39,56,62,65,85,89,91,95,98]","[1,1,1,-1,-1,-1,-1,1,1,1,1,1,1]",1,0,1
unrestricted,100,6,128,14,3,"[68,56,20,8,87,38]","[1,1,1,1,1,-1]","[6,16,31,36,49,53,54,55,61,68,69,76,80,83,85,86,99]","[1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1]",1,0,1
unrestricted,50,6,32,15,2,"[22,40,19,10,24,21]","[1,1,-1,1,-1,-1]","[7,10,22,24,28,36,41]","[1,1,-1,-1,-1,-1,1]",3,2,1
unrestricted,100,6,32,15,1,"[74,16,10,25,3,54]","[1,1,-1,1,-1,-1]","[10,21,31,32,43,47,58,69,80]","[1,-1,1,-1,-1,1,-1,-1,-1]",1,0,1
unrestricted,100,6,32,15,2,"[74,16,10,25,3,54]","[1,1,-1,1,-1,-1]","[0,26,33,40,42,44,54,58,64]","[-1,-1,1,1,1,1,1,-1,-1]",1,0,1
kmax10,10,3,4,1,3,"[1,7,5]","[-1,1,1]","[4,5,9]","[-1,-1,-1]",1,0,1
kmax10,50,3,8,1,1,"[17,39,41]","[-1,1,1]","[22,23,41]","[-1,1,-1]",1,0,1
kmax10,50,3,8,1,4,"[17,39,41]","[-1,1,1]","[10,30,41]","[1,1,-1]",1,0,1
kmax10,10,3,8,3,5,"[7,3,8]","[1,1,1]","[2,4,5,8]","[1,-1,-1,-1]",1,0,1
kmax10,50,3,16,3,1,"[9,26,10]","[1,1,1]","[9,25,27,32,37,39]","[-1,-1,1,1,1,-1]",1,0,1
kmax10,50,3,16,4,3,"[26,10,46]","[1,1,1]","[10,16,30,39,41,44]","[-1,-1,-1,-1,1,1]",1,0,1
kmax10,10,3,8,10,5,"[5,8,2]","[-1,1,-1]","[2,5,6,9]","[1,-1,-1,1]",2,1,1
kmax10,10,3,4,15,5,"[0,2,7]","[1,-1,-1]","[2,8]","[1,-1]",1,0,1
